,受理時間,案類,案別,發生地點,派遣分隊,執行狀況
1,2019/06/20 16:02,緊急救護,車禍,埤頭鄉稻香路,埤頭分隊,到達現場
2,2019/06/20 15:57,緊急救護,急病,彰化市向陽街213巷2弄,彰化分隊,到達現場
3,2019/06/20 15:55,緊急救護,路倒,鹿港鎮鹿和路四段,和美,鹿港分隊,到達現場
4,2019/06/20 15:48,緊急救護,急病,鹿港鎮三民路,鹿鳴分隊,到達醫院
5,2019/06/20 15:43,緊急救護,急病,大城鄉青埔路,大城分隊,送往醫院
6,2019/06/20 15:16,火災,其他,溪湖鎮彰水路三段,溪湖分隊,返隊途中
7,2019/06/20 15:35,其他,捕蜂,大村鄉學府路,大村分隊,已出勤
8,2019/06/20 15:32,其他,捕蜂,北斗鎮中圳路,北斗分隊,
9,2019/06/20 10:05,其他,捉蛇,埔鹽鄉彰水路二段169巷,埔鹽分隊,
10,2019/06/20 09:43,其他,捕蜂,田中鎮大社路三段764巷,田中分隊,
11,2019/06/19 15:40,其他,捕蜂,彰化市南郭路一段,彰化分隊,
12,2019/06/19 15:21,其他,捉蛇,員林市山腳路三段2巷68弄,員林分隊,
