Property,內容,一,二,三,四,五,六,日
四月,設計：4/25 DM與邀請卡設計初稿,19,20,21,22,23,24,25
,設計：5/2 官方宣傳圖完成,26,27,28,29,30,1,2
五月,宣傳：5/9 宣傳計畫完成,3,4,5,6,7,8,9
,"票務：5/9 票務簽約完成
設計：5/16 DM與邀請卡完成、送印
全體：5/15~16 第二次籌備會議（待定）",10,11,12,13,14,15,16
,"設計：5/22 提供主視覺元素、FB大頭貼
　　、FB封面、大頭貼特效框",17,18,19,20,21,22,23
,"宣傳：5/24網路宣傳開始
校內：5/24校內拉贊開始",24,25,26,27,28,29,30
六月,,31,1,2,3,4,5,6
,製作：6/10 早鳥影片定案,7,8,9,10,11,12,13
,,14,15,16,17,18,19,20
,全體：6/26~27 第三次籌備會議（待定）,21,22,23,24,25,26,27
,"6/30 文化中心文宣（藝文花園）
節目冊：7/4 給設計第一階段文案",28,29,30,1,2,3,4
七月,,5,6,7,8,9,10,11
,"製作：7/13 宣傳影片1定案
7/17 早鳥票結束
節目冊：7/18 文字初排",12,13,14,15,16,17,18
,"製作：7/20 宣傳影片2定案
全體：7/24~25 第四次籌備會議（待定）",19,20,21,22,23,24,25
,"節目冊：7/26 給設計第二階段文案
製作：7/27 宣傳影片3定案
製作：7/31 演出串場影片定案
7/31 技術需求文件（藝文花園）",26,27,28,29,30,31,1
八月,"8/2 團練開始
製作：8/3 宣傳影片4定案
節目冊：8/3 校稿及修改完成
節目冊：8/4 送印
全體：8/8 第五次籌備會議（待定）",2,3,4,5,6,7,8
,8/15 校友團團員大會（待定）,9,10,11,12,13,14,15
,"8/16 Rundown、行前會
8/17 演出",16,17,,,,,
