日期,幹部,事項
"April 25, 2021",設計,DM與邀請卡設計初稿
"May 2, 2021",設計,官方宣傳圖完成
"May 9, 2021",宣傳,宣傳計畫完成
"May 9, 2021",票務,票務簽約完成
"May 16, 2021",設計,DM與邀請卡完成、送印
"May 16, 2021",全體,第二次籌備會議（待定）
"May 22, 2021",設計,提供主視覺元素、FB大頭貼、FB封面、大頭貼特效框
"May 24, 2021",宣傳,網路宣傳開始
"May 24, 2021",校內,校內拉贊開始
"June 10, 2021",製作,早鳥影片定案
"June 27, 2021",全體,第三次籌備會議（待定）
"June 30, 2021",總召,文化中心文宣（藝文花園）
"July 4, 2021",節目冊,給設計第一階段文案
"July 13, 2021",製作,宣傳影片1定案
"July 17, 2021",,早鳥票結束
"July 18, 2021",節目冊,文字初排
"July 20, 2021",製作,宣傳影片2定案
"July 25, 2021",全體,第四次籌備會議（待定）
"July 26, 2021",節目冊,給設計第二階段文案
"July 27, 2021",製作,宣傳影片3定案
"July 31, 2021",製作,演出串場影片定案
"July 31, 2021",總召,技術需求文件（藝文花園）
"August 2, 2021",,團練開始
"August 3, 2021",製作,宣傳影片4定案
"August 3, 2003",節目冊,校稿及修改完成
"August 4, 2021",節目冊,送印
"August 8, 2021",全體,第五次籌備會議（待定）
"August 15, 2021",,校友團團員大會（待定）
"August 16, 2021",,Rundown、行前會
"August 17, 2021",,演出
